,amount,branch_type,category,da_id,hospital_area,hospital_code,hospital_name,indicator,total,Special_Type,SPECIAL_ID,overall_district,overall,year
19,11,1,地區醫院            ,114,新北市土城區,1531130105,仁安醫院,9.09%,121,3,0,0.2483,0.3040,2011
20,2,1,地區醫院            ,114,新北市三重區,1531021165,三重中興醫院,5%,40,3,0,0.2483,0.3040,2011
21,0,1,地區醫院            ,114,新北市新莊區,1431060017,財團法人台灣省私立台北仁濟院附設新莊仁濟醫院,0%,31,3,0,0.2483,0.3040,2011
22,0,1,地區醫院            ,114,新北市新莊區,1531061230,益民醫院,0%,5,3,0,0.2483,0.3040,2011
23,1,1,地區醫院            ,114,新北市新莊區,1531060073,新莊英仁醫院,50%,2,3,0,0.2483,0.3040,2011
24,739,1,診所                ,114,新北市板橋區,3531012695,翰生診所,79.54%,929,4,0,0.2483,0.3040,2011
25,55,1,診所                ,114,新北市樹林區,3531070820,樹林泰新診所,7.31%,752,4,0,0.2483,0.3040,2011
26,304,1,診所                ,114,新北市淡水區,2331100015,新北市淡水區衛生所,41.64%,730,4,0,0.2483,0.3040,2011
27,372,1,診所                ,114,新北市三重區,3531024462,德河聯合診所,54.54%,682,4,0,0.2483,0.3040,2011
28,85,1,診所                ,114,新北市三重區,3531020080,蘇炫明外科診所,13.38%,635,4,0,0.2483,0.3040,2011
29,141,1,診所                ,114,新北市新莊區,3531061278,聯安診所,23.30%,605,4,0,0.2483,0.3040,2011
30,96,1,診所                ,114,新北市新店區,3531051101,張榮宗內科診所,19.47%,493,4,0,0.2483,0.3040,2011
31,39,1,診所                ,114,新北市新莊區,3531061867,聯福診所,7.95%,490,4,0,0.2483,0.3040,2011
32,63,1,診所                ,114,新北市蘆洲區,3531142509,民族診所,13.04%,483,4,0,0.2483,0.3040,2011
33,84,1,診所                ,114,新北市板橋區,3531015169,常春聯合診所,17.42%,482,4,0,0.2483,0.3040,2011
34,209,1,診所                ,114,新北市鶯歌區,3531080200,崇文診所,46.96%,445,4,0,0.2483,0.3040,2011
35,113,1,診所                ,114,新北市板橋區,2331010016,新北市板橋區衛生所,25.79%,438,4,0,0.2483,0.3040,2011
36,49,1,診所                ,114,新北市板橋區,3531015918,張明輝內科診所,11.80%,415,4,0,0.2483,0.3040,2011
37,126,1,診所                ,114,新北市三重區,2331020012,新北市三重區衛生所,31.89%,395,4,0,0.2483,0.3040,2011
38,52,1,診所                ,114,新北市三芝區,2331210016,新北市三芝區衛生所,13.40%,388,4,0,0.2483,0.3040,2011
39,86,1,診所                ,114,新北市新莊區,3531064448,麗安診所,22.27%,386,4,0,0.2483,0.3040,2011
40,66,1,診所                ,114,新北市中和區,3531045014,賴凱新診所,17.27%,382,4,0,0.2483,0.3040,2011
41,32,1,診所                ,114,新北市新莊區,3531061929,林定參診所,8.60%,372,4,0,0.2483,0.3040,2011
42,99,1,診所                ,114,新北市瑞芳區,2331120017,新北市瑞芳區衛生所,27.19%,364,4,0,0.2483,0.3040,2011
43,78,1,診所                ,114,新北市板橋區,3531012837,大川診所,21.66%,360,4,0,0.2483,0.3040,2011
44,55,1,診所                ,114,新北市土城區,3531132325,學府實和聯合診所,15.40%,357,4,0,0.2483,0.3040,2011
45,31,1,診所                ,114,新北市新莊區,3531065294,晉安診所,8.68%,357,4,0,0.2483,0.3040,2011
46,103,1,診所                ,114,新北市八里區,2331230018,新北市八里區衛生所,29.17%,353,4,0,0.2483,0.3040,2011
47,217,1,診所                ,114,新北市三峽區,2331090014,新北市三峽區衛生所,61.82%,351,4,0,0.2483,0.3040,2011
48,46,1,診所                ,114,新北市三重區,3531024882,三重祥安診所,13.21%,348,4,0,0.2483,0.3040,2011
49,88,1,診所                ,114,新北市三重區,3531025067,德心診所,26.82%,328,4,0,0.2483,0.3040,2011
50,90,1,診所                ,114,新北市三重區,3531022208,德慈聯合診所,27.86%,323,4,0,0.2483,0.3040,2011
51,29,1,診所                ,114,新北市板橋區,3531013432,麗暘診所,9%,322,4,0,0.2483,0.3040,2011
52,44,1,診所                ,114,新北市板橋區,3531012435,林皮膚科診所,14.01%,314,4,0,0.2483,0.3040,2011
53,90,1,診所                ,114,新北市板橋區,3531013003,陳敏玲內科診所,28.84%,312,4,0,0.2483,0.3040,2011
54,65,1,診所                ,114,新北市鶯歌區,3531081494,慈德聯合診所,21.45%,303,4,0,0.2483,0.3040,2011
55,54,1,診所                ,114,新北市中和區,3531044802,祐嘉骨科診所,17.94%,301,4,0,0.2483,0.3040,2011
56,47,1,診所                ,114,新北市三重區,3531024506,杏華診所,15.98%,294,4,0,0.2483,0.3040,2011
57,79,1,診所                ,114,新北市三重區,3531022600,江村聯合診所,26.96%,293,4,0,0.2483,0.3040,2011
58,180,1,診所                ,114,新北市深坑區,2331180013,新北市深坑區衛生所,61.64%,292,4,0,0.2483,0.3040,2011
59,59,1,診所                ,114,新北市淡水區,3531100529,鴻恩診所,20.34%,290,4,0,0.2483,0.3040,2011
60,108,1,診所                ,114,新北市金山區,2331270012,新北市金山區衛生所,37.89%,285,4,0,0.2483,0.3040,2011
61,116,1,診所                ,114,新北市板橋區,3531013567,龍興診所,40.70%,285,4,0,0.2483,0.3040,2011
62,52,1,診所                ,114,新北市中和區,3531045050,通安診所,18.43%,282,4,0,0.2483,0.3040,2011
63,25,1,診所                ,114,新北市樹林區,3531071998,安濟診所,8.99%,278,4,0,0.2483,0.3040,2011
64,70,1,診所                ,114,新北市新莊區,3531063870,新庚診所,25.27%,277,4,0,0.2483,0.3040,2011
65,36,1,診所                ,114,新北市新莊區,3531061214,志豪診所,13.09%,275,4,0,0.2483,0.3040,2011
66,60,1,診所                ,114,新北市林口區,2331170017,新北市林口區衛生所,22.05%,272,4,0,0.2483,0.3040,2011
67,56,1,診所                ,114,新北市三重區,3531024668,集美診所,20.89%,268,4,0,0.2483,0.3040,2011
68,37,1,診所                ,114,新北市新莊區,3531063601,中心診所,14.12%,262,4,0,0.2483,0.3040,2011
69,30,1,診所                ,114,新北市板橋區,3531010691,春和診所,11.49%,261,4,0,0.2483,0.3040,2011
70,44,1,診所                ,114,新北市三重區,3531025003,安禾診所,16.92%,260,4,0,0.2483,0.3040,2011
71,28,1,診所                ,114,新北市土城區,3531130750,張國樑診所,10.98%,255,4,0,0.2483,0.3040,2011
72,74,1,診所                ,114,新北市貢寮區,2331260016,新北市貢寮區衛生所,29.24%,253,4,0,0.2483,0.3040,2011
73,39,1,診所                ,114,新北市三重區,3531025389,重新診所,15.72%,248,4,0,0.2483,0.3040,2011
74,40,1,診所                ,114,新北市新店區,3531051325,富森診所,16.12%,248,4,0,0.2483,0.3040,2011
75,24,1,診所                ,114,新北市蘆洲區,3531142250,大安診所,9.71%,247,4,0,0.2483,0.3040,2011
76,34,1,診所                ,114,新北市板橋區,3531016826,嘉齡診所,14.22%,239,4,0,0.2483,0.3040,2011
77,98,1,診所                ,114,新北市中和區,2331040014,新北市中和區衛生所,41.70%,235,4,0,0.2483,0.3040,2011
78,51,1,診所                ,114,新北市板橋區,3531012195,謝坤川診所,21.70%,235,4,0,0.2483,0.3040,2011
79,26,1,診所                ,114,新北市蘆洲區,3531142358,蘆洲立民診所,11.11%,234,4,0,0.2483,0.3040,2011
80,24,1,診所                ,114,新北市瑞芳區,3531120343,瑞聯診所,10.25%,234,4,0,0.2483,0.3040,2011
81,26,1,診所                ,114,新北市板橋區,3531013227,侯世文診所,11.11%,234,4,0,0.2483,0.3040,2011
82,171,1,診所                ,114,新北市中和區,3531042451,育家聯合診所,73.70%,232,4,0,0.2483,0.3040,2011
83,43,1,診所                ,114,新北市板橋區,3531013398,合信診所,18.53%,232,4,0,0.2483,0.3040,2011
84,30,1,診所                ,114,新北市三重區,3531022664,良安診所,12.98%,231,4,0,0.2483,0.3040,2011
85,35,1,診所                ,114,新北市淡水區,3531100421,李兆然家醫科診所,15.21%,230,4,0,0.2483,0.3040,2011
86,20,1,診所                ,114,新北市板橋區,3531016406,昇陽診所,8.73%,229,4,0,0.2483,0.3040,2011
87,29,1,診所                ,114,新北市板橋區,3531016719,聯德診所,12.71%,228,4,0,0.2483,0.3040,2011
88,26,1,診所                ,114,新北市新店區,3531052760,欣和診所,11.40%,228,4,0,0.2483,0.3040,2011
89,27,1,診所                ,114,新北市林口區,3531170174,明揚診所,12.05%,224,4,0,0.2483,0.3040,2011
90,42,1,診所                ,114,新北市三重區,3531022771,佳仁診所,18.91%,222,4,0,0.2483,0.3040,2011
91,37,1,診所                ,114,新北市新店區,3531053141,安立診所,16.74%,221,4,0,0.2483,0.3040,2011
92,113,1,診所                ,114,新北市新店區,2331050010,新北市新店區衛生所,51.36%,220,4,0,0.2483,0.3040,2011
93,106,1,診所                ,114,新北市新莊區,2331060016,新北市新莊區衛生所,48.40%,219,4,0,0.2483,0.3040,2011
94,25,1,診所                ,114,新北市三重區,3531022557,吾佳診所,11.41%,219,4,0,0.2483,0.3040,2011
95,37,1,診所                ,114,新北市中和區,3531044535,唯安診所,17.05%,217,4,0,0.2483,0.3040,2011
96,25,1,診所                ,114,新北市三重區,3531024239,簡修平診所,11.62%,215,4,0,0.2483,0.3040,2011
97,93,1,診所                ,114,新北市雙溪區,2331250010,新北市雙溪區衛生所,43.45%,214,4,0,0.2483,0.3040,2011
98,124,1,診所                ,114,新北市萬里區,2331280018,新北市萬里區衛生所,58.21%,213,4,0,0.2483,0.3040,2011
99,87,1,診所                ,114,新北市土城區,2331130013,新北市土城區衛生所,41.23%,211,4,0,0.2483,0.3040,2011
100,87,1,診所                ,114,新北市板橋區,3531013905,興安診所,42.02%,207,4,0,0.2483,0.3040,2011
101,18,1,診所                ,114,新北市林口區,3531171304,宏愛診所,8.86%,203,4,0,0.2483,0.3040,2011
102,24,1,診所                ,114,新北市泰山區,3531161657,明泰診所,11.82%,203,4,0,0.2483,0.3040,2011
103,63,1,診所                ,114,新北市泰山區,2331160011,新北市泰山區衛生所,31.34%,201,4,0,0.2483,0.3040,2011
104,53,1,診所                ,114,新北市永和區,3531033747,德美診所,27.17%,195,4,0,0.2483,0.3040,2011
105,49,1,診所                ,114,新北市汐止區,2331110011,新北市汐止區衛生所,25.25%,194,4,0,0.2483,0.3040,2011
106,96,1,診所                ,114,新北市鶯歌區,3531081538,怡兒診所,49.74%,193,4,0,0.2483,0.3040,2011
107,36,1,診所                ,114,新北市汐止區,3531110025,楊內科小兒科診所,18.65%,193,4,0,0.2483,0.3040,2011
108,31,1,診所                ,114,新北市新店區,3531053203,又新診所,16.57%,187,4,0,0.2483,0.3040,2011
109,29,1,診所                ,114,新北市三重區,3531024122,保順聯合診所,15.59%,186,4,0,0.2483,0.3040,2011
110,11,1,診所                ,114,新北市林口區,3531171386,林漢邦診所,5.94%,185,4,0,0.2483,0.3040,2011
111,45,1,診所                ,114,新北市樹林區,3531070419,博民診所,24.32%,185,4,0,0.2483,0.3040,2011
112,21,1,診所                ,114,新北市板橋區,3531013012,余立俊診所,11.53%,182,4,0,0.2483,0.3040,2011
113,17,1,診所                ,114,新北市板橋區,3531013138,板聯診所,9.39%,181,4,0,0.2483,0.3040,2011
114,11,1,診所                ,114,新北市板橋區,3531015365,志明診所,6.07%,181,4,0,0.2483,0.3040,2011
115,112,1,診所                ,114,新北市三重區,3531021505,重仁診所,62.22%,180,4,0,0.2483,0.3040,2011
116,30,1,診所                ,114,新北市新店區,3531053052,維霖內科診所,16.75%,179,4,0,0.2483,0.3040,2011
117,17,1,診所                ,114,新北市永和區,3531033685,黎新彬診所,9.55%,178,4,0,0.2483,0.3040,2011
118,7,1,診所                ,114,新北市板橋區,3531015687,家樺診所,3.93%,178,4,0,0.2483,0.3040,2011
119,33,1,診所                ,114,新北市鶯歌區,3531081574,立好診所,18.64%,177,4,0,0.2483,0.3040,2011
120,53,1,診所                ,114,新北市三重區,3531025254,龍華診所,30.11%,176,4,0,0.2483,0.3040,2011
121,19,1,診所                ,114,新北市新莊區,3531061698,福華診所,10.85%,175,4,0,0.2483,0.3040,2011
122,31,1,診所                ,114,新北市板橋區,3531017083,樂福診所,17.81%,174,4,0,0.2483,0.3040,2011
123,13,1,診所                ,114,新北市瑞芳區,3531121528,康橋診所,7.51%,173,4,0,0.2483,0.3040,2011
124,27,1,診所                ,114,新北市板橋區,3531017574,建明診所,15.60%,173,4,0,0.2483,0.3040,2011
125,28,1,診所                ,114,新北市新店區,3531052804,林逢慶診所,16.18%,173,4,0,0.2483,0.3040,2011
126,20,1,診所                ,114,新北市三峽區,3531091516,詠康診所,11.69%,171,4,0,0.2483,0.3040,2011
127,20,1,診所                ,114,新北市蘆洲區,3531142536,群安診所,11.83%,169,4,0,0.2483,0.3040,2011
128,83,1,診所                ,114,新北市蘆洲區,2331140019,新北市蘆洲區衛生所,49.40%,168,4,0,0.2483,0.3040,2011
129,19,1,診所                ,114,新北市新店區,3531052715,和成診所,11.44%,166,4,0,0.2483,0.3040,2011
130,27,1,診所                ,114,新北市汐止區,3531112654,祥和診所,16.46%,164,4,0,0.2483,0.3040,2011
131,15,1,診所                ,114,新北市泰山區,3531161568,泰和診所,9.20%,163,4,0,0.2483,0.3040,2011
132,24,1,診所                ,114,新北市蘆洲區,3531140845,華邦診所,14.81%,162,4,0,0.2483,0.3040,2011
133,51,1,診所                ,114,新北市板橋區,3531015490,連建安診所,32.07%,159,4,0,0.2483,0.3040,2011
134,21,1,診所                ,114,新北市淡水區,3531104901,梁衛賓診所,13.20%,159,4,0,0.2483,0.3040,2011
135,19,1,診所                ,114,新北市三重區,3531022995,游奐倫診所,11.94%,159,4,0,0.2483,0.3040,2011
136,22,1,診所                ,114,新北市永和區,3531033532,文林診所,13.92%,158,4,0,0.2483,0.3040,2011
137,17,1,診所                ,114,新北市蘆洲區,3531142616,趙國雄診所,10.82%,157,4,0,0.2483,0.3040,2011
138,28,1,診所                ,114,新北市新莊區,3531061492,鄭安雄診所,18.06%,155,4,0,0.2483,0.3040,2011
139,18,1,診所                ,114,新北市土城區,3531133064,頂埔中心診所,11.68%,154,4,0,0.2483,0.3040,2011
140,15,1,診所                ,114,新北市土城區,3531130741,歐家庭醫學科診所,9.93%,151,4,0,0.2483,0.3040,2011
141,12,1,診所                ,114,新北市板橋區,3531013781,黃頌邦診所,7.94%,151,4,0,0.2483,0.3040,2011
142,22,1,診所                ,114,新北市鶯歌區,3531080433,康健家庭醫學科診所,14.66%,150,4,0,0.2483,0.3040,2011
143,59,1,診所                ,114,新北市永和區,2331030018,新北市永和區衛生所,40.13%,147,4,0,0.2483,0.3040,2011
144,30,1,診所                ,114,新北市永和區,3531034039,德上診所,20.54%,146,4,0,0.2483,0.3040,2011
145,17,1,診所                ,114,新北市土城區,3531132530,康合診所,11.72%,145,4,0,0.2483,0.3040,2011
146,24,1,診所                ,114,新北市永和區,3531030371,聯宏內科診所,16.55%,145,4,0,0.2483,0.3040,2011
147,17,1,診所                ,114,新北市泰山區,3531160294,康泰診所,11.80%,144,4,0,0.2483,0.3040,2011
148,12,1,診所                ,114,新北市汐止區,3531110856,吳宗憲診所,8.45%,142,4,0,0.2483,0.3040,2011
149,15,1,診所                ,114,新北市五股區,3531150118,黃志勳診所,10.79%,139,4,0,0.2483,0.3040,2011
150,32,1,診所                ,114,新北市八里區,3531231154,文心診所,23.02%,139,4,0,0.2483,0.3040,2011
151,17,1,診所                ,114,新北市中和區,3531041918,景民診所,12.31%,138,4,0,0.2483,0.3040,2011
152,15,1,診所                ,114,新北市五股區,3531151517,祐聖小兒科診所,10.86%,138,4,0,0.2483,0.3040,2011
153,11,1,診所                ,114,新北市板橋區,3531016915,進益診所,8.02%,137,4,0,0.2483,0.3040,2011
154,23,1,診所                ,114,新北市新莊區,3531061947,黃信喜診所,16.91%,136,4,0,0.2483,0.3040,2011
155,12,1,診所                ,114,新北市土城區,3531132718,土城劉內科診所,9.23%,130,4,0,0.2483,0.3040,2011
156,12,1,診所                ,114,新北市板橋區,3531011670,潘內科小兒科診所,9.23%,130,4,0,0.2483,0.3040,2011
157,36,1,診所                ,114,新北市三峽區,2731090012,退除役官兵輔導委員會臺北榮譽國民之家醫務室,27.90%,129,4,0,0.2483,0.3040,2011
158,34,1,診所                ,114,新北市土城區,3531130812,廣全診所,26.56%,128,4,0,0.2483,0.3040,2011
159,13,1,診所                ,114,新北市中和區,3531041623,吳嘉生診所,10.15%,128,4,0,0.2483,0.3040,2011
160,17,1,診所                ,114,新北市永和區,3531031261,清池診所,13.28%,128,4,0,0.2483,0.3040,2011
161,11,1,診所                ,114,新北市三重區,3531022959,李烈委診所,8.73%,126,4,0,0.2483,0.3040,2011
162,17,1,診所                ,114,新北市石門區,2331220012,新北市石門區衛生所,13.60%,125,4,0,0.2483,0.3040,2011
163,14,1,診所                ,114,新北市新莊區,3531061974,張昱錦診所,11.38%,123,4,0,0.2483,0.3040,2011
164,10,1,診所                ,114,新北市蘆洲區,3531142198,詠贊聯合診所,8.19%,122,4,0,0.2483,0.3040,2011
165,9,1,診所                ,114,新北市瑞芳區,3531120076,簡診所,7.43%,121,4,0,0.2483,0.3040,2011
166,64,1,診所                ,114,新北市平溪區,2331240014,新北市平溪區衛生所,52.89%,121,4,0,0.2483,0.3040,2011
167,55,1,診所                ,114,新北市鶯歌區,2331080018,新北市鶯歌區衛生所,45.83%,120,4,0,0.2483,0.3040,2011
168,28,1,診所                ,114,新北市永和區,3531031903,長欣診所,23.33%,120,4,0,0.2483,0.3040,2011
169,23,1,診所                ,114,新北市新莊區,3531064091,黃宏立診所,19.32%,119,4,0,0.2483,0.3040,2011
170,53,1,診所                ,114,新北市樹林區,2331070012,新北市樹林區衛生所,44.53%,119,4,0,0.2483,0.3040,2011
171,27,1,診所                ,114,新北市中和區,3531041052,家安診所,22.68%,119,4,0,0.2483,0.3040,2011
172,8,1,診所                ,114,新北市八里區,3531230086,施世明診所,6.72%,119,4,0,0.2483,0.3040,2011
173,12,1,診所                ,114,新北市板橋區,3531010557,徐內科小兒科診所,10.25%,117,4,0,0.2483,0.3040,2011
174,19,1,診所                ,114,新北市新莊區,3531064331,隆安診所,16.23%,117,4,0,0.2483,0.3040,2011
175,20,1,診所                ,114,新北市中和區,3531041178,日欣診所,17.24%,116,4,0,0.2483,0.3040,2011
176,68,1,診所                ,114,新北市永和區,3531031761,黃濂輝診所,59.13%,115,4,0,0.2483,0.3040,2011
177,12,1,診所                ,114,新北市五股區,3531150163,成洲診所,10.43%,115,4,0,0.2483,0.3040,2011
178,14,1,診所                ,114,新北市新莊區,3531065221,和新診所,12.38%,113,4,0,0.2483,0.3040,2011
179,23,1,診所                ,114,新北市三重區,3531022922,侯外科診所,20.35%,113,4,0,0.2483,0.3040,2011
180,14,1,診所                ,114,新北市新莊區,3531064466,佳泰診所,12.61%,111,4,0,0.2483,0.3040,2011
181,18,1,診所                ,114,新北市中和區,3531044651,莊福仁內科診所,16.36%,110,4,0,0.2483,0.3040,2011
182,49,1,診所                ,114,新北市坪林區,2331200010,新北市坪林區衛生所,44.95%,109,4,0,0.2483,0.3040,2011
183,14,1,診所                ,114,新北市三重區,3531025432,輝鴻診所,12.84%,109,4,0,0.2483,0.3040,2011
184,15,1,診所                ,114,新北市板橋區,3531011590,姚欽祥外科婦產科診所,13.88%,108,4,0,0.2483,0.3040,2011
185,8,1,診所                ,114,新北市鶯歌區,3531081636,維新診所,7.40%,108,4,0,0.2483,0.3040,2011
186,14,1,診所                ,114,新北市中和區,3531041301,張維發診所,13.20%,106,4,0,0.2483,0.3040,2011
187,5,1,診所                ,114,新北市瑞芳區,3531120183,詠安診所,4.76%,105,4,0,0.2483,0.3040,2011
188,10,1,診所                ,114,新北市新莊區,3531062186,康福診所,9.52%,105,4,0,0.2483,0.3040,2011
189,13,1,診所                ,114,新北市中和區,3531041632,祥明診所,12.50%,104,4,0,0.2483,0.3040,2011
190,6,1,診所                ,114,新北市泰山區,3531161531,楓江診所,5.82%,103,4,0,0.2483,0.3040,2011
191,19,1,診所                ,114,新北市烏來區,3531290028,烏來安泰診所,18.62%,102,4,0,0.2483,0.3040,2011
192,13,1,診所                ,114,新北市三重區,3531024775,敦和診所,12.74%,102,4,0,0.2483,0.3040,2011
193,13,1,診所                ,114,新北市蘆洲區,3531142661,昱明診所,13%,100,4,0,0.2483,0.3040,2011
194,17,1,診所                ,114,新北市板橋區,3531016924,成安診所,17%,100,4,0,0.2483,0.3040,2011
195,14,1,診所                ,114,新北市土城區,3531130189,郭海昌診所,14.14%,99,4,0,0.2483,0.3040,2011
196,17,1,診所                ,114,新北市汐止區,3531112618,福德診所,17.17%,99,4,0,0.2483,0.3040,2011
197,14,1,診所                ,114,新北市三重區,3531025361,仁暉診所,14.28%,98,4,0,0.2483,0.3040,2011
198,8,1,診所                ,114,新北市板橋區,3531013156,顏舜隆小兒科診所,8.16%,98,4,0,0.2483,0.3040,2011
199,11,1,診所                ,114,新北市新莊區,3531061983,健佑診所,11.34%,97,4,0,0.2483,0.3040,2011
200,10,1,診所                ,114,新北市汐止區,3531110927,元泰診所,10.30%,97,4,0,0.2483,0.3040,2011
201,6,1,診所                ,114,新北市五股區,3531151651,德音診所,6.18%,97,4,0,0.2483,0.3040,2011
202,26,1,診所                ,114,新北市新莊區,3531065141,安庚內科診所,26.80%,97,4,0,0.2483,0.3040,2011
203,9,1,診所                ,114,新北市瑞芳區,3531121546,福康診所,9.37%,96,4,0,0.2483,0.3040,2011
204,16,1,診所                ,114,新北市中和區,3531044106,美和診所,16.66%,96,4,0,0.2483,0.3040,2011
205,12,1,診所                ,114,新北市三峽區,3531090055,主恩診所,12.50%,96,4,0,0.2483,0.3040,2011
206,11,1,診所                ,114,新北市土城區,3531131140,泰康診所,11.57%,95,4,0,0.2483,0.3040,2011
207,13,1,診所                ,114,新北市土城區,3531132281,梁診所,13.68%,95,4,0,0.2483,0.3040,2011
208,12,1,診所                ,114,新北市蘆洲區,3531140587,宏國診所,12.90%,93,4,0,0.2483,0.3040,2011
209,8,1,診所                ,114,新北市泰山區,3531161497,葆安診所,8.60%,93,4,0,0.2483,0.3040,2011
210,11,1,診所                ,114,新北市永和區,3531032053,惠生聯合診所,11.95%,92,4,0,0.2483,0.3040,2011
211,9,1,診所                ,114,新北市中和區,3531042095,澤生診所,9.78%,92,4,0,0.2483,0.3040,2011
212,13,1,診所                ,114,新北市新莊區,3531064617,家泰耳鼻喉科診所,14.13%,92,4,0,0.2483,0.3040,2011
213,9,1,診所                ,114,新北市汐止區,3531110605,黃玟珍診所,9.78%,92,4,0,0.2483,0.3040,2011
214,14,1,診所                ,114,新北市中和區,3531043752,嘉櫻診所,15.38%,91,4,0,0.2483,0.3040,2011
215,8,1,診所                ,114,新北市泰山區,3531160267,賴和鴻診所,8.79%,91,4,0,0.2483,0.3040,2011
216,5,1,診所                ,114,新北市新莊區,3531060084,陳一隆內科小兒科診所,5.55%,90,4,0,0.2483,0.3040,2011
217,12,1,診所                ,114,新北市汐止區,3531112323,許至仁診所,13.33%,90,4,0,0.2483,0.3040,2011
218,7,1,診所                ,114,新北市深坑區,3531180152,林振得診所,7.77%,90,4,0,0.2483,0.3040,2011
219,10,1,診所                ,114,新北市中和區,3531042317,晟恩診所,11.36%,88,4,0,0.2483,0.3040,2011
220,20,1,診所                ,114,新北市中和區,3531044642,佳和診所,22.72%,88,4,0,0.2483,0.3040,2011
221,12,1,診所                ,114,新北市中和區,3531044982,南勢角德祐診所,13.63%,88,4,0,0.2483,0.3040,2011
222,16,1,診所                ,114,新北市永和區,3531033854,銘亮診所,18.60%,86,4,0,0.2483,0.3040,2011
223,10,1,診所                ,114,新北市板橋區,3531017305,欣心診所,11.62%,86,4,0,0.2483,0.3040,2011
224,8,1,診所                ,114,新北市汐止區,3531112083,佳祥診所,9.30%,86,4,0,0.2483,0.3040,2011
225,13,1,診所                ,114,新北市貢寮區,3531261134,樂文診所,15.11%,86,4,0,0.2483,0.3040,2011
226,12,1,診所                ,114,新北市五股區,3531151562,嘉安小兒科診所,13.95%,86,4,0,0.2483,0.3040,2011
227,11,1,診所                ,114,新北市中和區,3531044428,孫國勝外科診所,12.94%,85,4,0,0.2483,0.3040,2011
228,6,1,診所                ,114,新北市中和區,3531041785,德祐診所,7.14%,84,4,0,0.2483,0.3040,2011
229,19,1,診所                ,114,新北市永和區,3531031878,博新小兒科家庭醫學科診所,22.61%,84,4,0,0.2483,0.3040,2011
230,6,1,診所                ,114,新北市板橋區,3531016540,樹仁診所,7.14%,84,4,0,0.2483,0.3040,2011
231,6,1,診所                ,114,新北市板橋區,3531011750,慈蕙診所,7.22%,83,4,0,0.2483,0.3040,2011
232,5,1,診所                ,114,新北市樹林區,3531070400,合順診所,6.02%,83,4,0,0.2483,0.3040,2011
233,12,1,診所                ,114,新北市新莊區,3531064260,李蓮宗診所,14.63%,82,4,0,0.2483,0.3040,2011
234,7,1,診所                ,114,新北市土城區,3531131024,王培玲診所,8.64%,81,4,0,0.2483,0.3040,2011
235,4,1,診所                ,114,新北市新莊區,3531065123,志安診所,5%,80,4,0,0.2483,0.3040,2011
236,10,1,診所                ,114,新北市中和區,3531041847,宜生診所,12.65%,79,4,0,0.2483,0.3040,2011
